customerId,productId,productName,productCategory,purchaseAmount,purchaseDate
1,1,4K Smart TV 55-inch,Electronics,699.99,12-31-2024
1,28,Fitness Tracker,Sports & Outdoors,79.99,12-28-2024
1,60,Cloud Storage Plan,Digital Products,19.99,12-25-2024
1,57,Photo Editing App,Digital Products,29.99,12-20-2024
1,18,Sparkling Water Pack,Food & Beverages,12.99,12-15-2024
1,20,Trail Mix Bundle,Food & Beverages,19.99,12-10-2024
1,27,Camping Tent,Sports & Outdoors,199.99,12-05-2024
1,12,Winter Jacket,Clothing,129.99,12-01-2024
1,49,Wireless Mouse,Office Supplies,39.99,11-28-2024
1,50,Laptop Stand,Office Supplies,59.99,11-25-2024
1,16,Organic Coffee Beans,Food & Beverages,14.99,11-20-2024
1,2,Wireless Earbuds Pro,Electronics,149.99,11-15-2024
1,60,Cloud Storage Plan,Digital Products,19.99,11-10-2024
1,13,Athletic Shoes,Clothing,89.99,11-05-2024
1,17,Protein Bar Pack,Food & Beverages,24.99,11-01-2024
2,52,Plant Seeds Bundle,Garden & Outdoor,24.99,12-31-2024
2,51,Garden Tool Set,Garden & Outdoor,79.99,12-28-2024
2,37,Cookbook Collection,Books & Media,39.99,12-25-2024
2,16,Organic Coffee Beans,Food & Beverages,14.99,12-20-2024
2,18,Sparkling Water Pack,Food & Beverages,12.99,12-15-2024
2,6,Coffee Maker Deluxe,Home & Kitchen,129.99,12-10-2024
2,54,Solar Garden Lights,Garden & Outdoor,39.99,12-05-2024
2,35,Skincare Bundle,Beauty & Personal Care,79.99,12-01-2024
2,31,Face Cream,Beauty & Personal Care,29.99,11-28-2024
2,52,Plant Seeds Bundle,Garden & Outdoor,24.99,11-25-2024
2,19,Gourmet Chocolate Box,Food & Beverages,29.99,11-20-2024
2,39,Language Learning Set,Books & Media,129.99,11-15-2024
2,55,Bird Feeder,Garden & Outdoor,29.99,11-10-2024
2,16,Organic Coffee Beans,Food & Beverages,14.99,11-05-2024
2,18,Sparkling Water Pack,Food & Beverages,12.99,11-01-2024
3,30,Dumbbells Set,Sports & Outdoors,149.99,12-31-2024
3,57,Photo Editing App,Digital Products,29.99,12-28-2024
3,26,Yoga Mat Pro,Sports & Outdoors,39.99,12-25-2024
3,13,Athletic Shoes,Clothing,89.99,12-20-2024
3,28,Fitness Tracker,Sports & Outdoors,79.99,12-15-2024
3,17,Protein Bar Pack,Food & Beverages,24.99,12-10-2024
3,14,Casual T-Shirt,Clothing,19.99,12-05-2024
3,60,Cloud Storage Plan,Digital Products,19.99,12-01-2024
3,2,Wireless Earbuds Pro,Electronics,149.99,11-28-2024
3,17,Protein Bar Pack,Food & Beverages,24.99,11-25-2024
3,49,Wireless Mouse,Office Supplies,39.99,11-20-2024
3,50,Laptop Stand,Office Supplies,59.99,11-15-2024
3,18,Sparkling Water Pack,Food & Beverages,12.99,11-10-2024
3,14,Casual T-Shirt,Clothing,19.99,11-05-2024
3,17,Protein Bar Pack,Food & Beverages,24.99,11-01-2024
4,38,Digital Magazine Sub,Books & Media,49.99,12-31-2024
4,2,Wireless Earbuds Pro,Electronics,149.99,12-28-2024
4,5,Bluetooth Speaker,Electronics,79.99,12-25-2024
4,39,Language Learning Set,Books & Media,129.99,12-20-2024
4,58,Music Streaming Sub,Digital Products,9.99,12-15-2024
4,47,Desk Lamp,Office Supplies,49.99,12-10-2024
4,50,Laptop Stand,Office Supplies,59.99,12-05-2024
4,57,Photo Editing App,Digital Products,29.99,12-01-2024
4,60,Cloud Storage Plan,Digital Products,19.99,11-28-2024
4,36,Bestseller Novel,Books & Media,24.99,11-25-2024
5,28,Fitness Tracker,Sports & Outdoors,79.99,12-31-2024
5,42,Premium Pet Food,Pet Supplies,54.99,12-28-2024
5,2,Wireless Earbuds Pro,Electronics,149.99,12-25-2024
5,57,Photo Editing App,Digital Products,29.99,12-20-2024
5,42,Premium Pet Food,Pet Supplies,54.99,12-14-2024
5,60,Cloud Storage Plan,Digital Products,19.99,12-10-2024
5,18,Sparkling Water Pack,Food & Beverages,12.99,12-07-2024
5,42,Premium Pet Food,Pet Supplies,54.99,11-30-2024
5,39,Language Learning Set,Books & Media,129.99,11-25-2024
5,13,Athletic Shoes,Clothing,89.99,11-20-2024
5,43,Pet Grooming Kit,Pet Supplies,39.99,11-15-2024
5,42,Premium Pet Food,Pet Supplies,54.99,11-14-2024
5,17,Protein Bar Pack,Food & Beverages,24.99,11-10-2024
5,37,Cookbook Collection,Books & Media,39.99,11-05-2024
5,42,Premium Pet Food,Pet Supplies,54.99,11-01-2024
6,1,4K Smart TV 55-inch,Electronics,699.99,12-30-2024
6,57,Photo Editing App,Digital Products,29.99,12-28-2024
6,34,Makeup Set,Beauty & Personal Care,99.99,12-25-2024
6,60,Cloud Storage Plan,Digital Products,19.99,12-20-2024
6,32,Hair Dryer Pro,Beauty & Personal Care,89.99,12-15-2024
6,35,Skincare Bundle,Beauty & Personal Care,79.99,12-10-2024
6,14,Casual T-Shirt,Clothing,19.99,12-08-2024
6,48,Stationery Set,Office Supplies,24.99,12-05-2024
6,11,Classic Denim Jeans,Clothing,49.99,12-03-2024
6,31,Face Cream,Beauty & Personal Care,29.99,12-01-2024
6,15,Dress Shirt,Clothing,59.99,11-28-2024
6,57,Photo Editing App,Digital Products,29.99,11-25-2024
6,12,Winter Jacket,Clothing,129.99,11-20-2024
6,34,Makeup Set,Beauty & Personal Care,99.99,11-15-2024
6,60,Cloud Storage Plan,Digital Products,19.99,11-10-2024
7,51,Garden Tool Set,Garden & Outdoor,79.99,12-31-2024
7,52,Plant Seeds Bundle,Garden & Outdoor,24.99,12-28-2024
